Order,	Nominal_X,	Nominal_Y,	Nominal_Z,	Measured_X,	Measured_Y,	Measured_Z,	Corrected_X,	Corrected_Y,	Corrected_Z,	DevMeasured_X,	DevMeasured_Y,	DevMeasured_Z,	DevCorrected_X,	DevCorrected_Y,	DevCorrected_Z
Order,Nominal points [mm],Measured points [mm],Corrected points [mm],Dev. before corr. [mm],Dev. after corr. [mm]
1, 1419.539, 20.000, 528.030 , 1356.312, -249.159, 661.850 , 1419.539, 19.999, 528.031 , -63.227, -269.159, 133.820 , 0.000, -0.001, 0.000 
2, 1410.657, 57.029, 517.849 , 1358.172, -213.163, 645.899 , 1410.658, 57.027, 517.849 , -52.486, -270.191, 128.049 , 0.000, -0.001, -0.000 
3, 1379.687, 93.474, 499.738 , 1338.996, -173.271, 620.280 , 1379.687, 93.472, 499.738 , -40.691, -266.744, 120.542 , 0.001, -0.001, -0.001 
4, 1327.115, 128.760, 473.983 , 1299.085, -130.112, 585.398 , 1327.116, 128.758, 473.982 , -28.030, -258.872, 111.415 , 0.001, -0.001, -0.001 
5, 1253.772, 162.330, 440.989 , 1239.070, -84.368, 541.803 , 1253.773, 162.329, 440.987 , -14.701, -246.699, 100.814 , 0.001, -0.001, -0.001 
6, 1160.814, 193.657, 401.276 , 1159.898, -36.760, 490.181 , 1160.815, 193.655, 401.275 , -0.916, -230.417, 88.905 , 0.001, -0.001, -0.002 
7, 1049.706, 222.244, 355.472 , 1062.815, 11.961, 431.349 , 1049.708, 222.243, 355.470 , 13.109, -210.283, 75.876 , 0.001, -0.001, -0.002 
8, 922.202, 247.642, 304.299 , 949.354, 61.028, 366.232 , 922.204, 247.641, 304.297 , 27.152, -186.614, 61.933 , 0.001, -0.001, -0.002 
9, 780.312, 269.450, 248.563 , 821.304, 109.666, 295.859 , 780.314, 269.449, 248.561 , 40.992, -159.784, 47.296 , 0.002, -0.001, -0.003 
10, 626.274, 287.324, 189.144 , 680.685, 157.108, 221.338 , 626.276, 287.323, 189.141 , 54.411, -130.216, 32.194 , 0.002, -0.001, -0.003 
11, 462.517, 300.982, 126.978 , 529.713, 202.606, 143.846 , 462.519, 300.981, 126.975 , 67.196, -98.376, 16.868 , 0.002, -0.001, -0.003 
12, 291.623, 310.209, 63.047 , 370.771, 245.443, 64.604 , 291.625, 310.209, 63.044 , 79.148, -64.767, 1.557 , 0.002, -0.001, -0.003 
13, 116.288, 314.859, -1.643 , 206.363, 284.942, -15.139 , 116.290, 314.859, -1.646 , 90.075, -29.917, -13.496 , 0.002, -0.001, -0.003 
